word_count,lexical_diversity,ne_density,readability,is_fake
12,1.0,0.0,73.84500000000001,1
16,0.9375,0.0625,87.67750000000001,1
14,1.0,0.0,103.04428571428575,1
17,1.0,0.0,80.09764705882354,1
18,0.9444444444444444,0.05555555555555555,99.00000000000001,1
8,1.0,0.0,71.81500000000001,1
19,0.9473684210526315,0.0,89.5921052631579,1
17,0.8235294117647058,0.0,98.67808823529413,1
18,0.8888888888888888,0.0,85.07411764705884,1
16,1.0,0.0,87.67750000000001,1
15,1.0,0.06666666666666667,86.42250000000001,1
19,0.8421052631578947,0.05263157894736842,90.32934210526317,1
13,0.9230769230769231,0.07692307692307693,83.09903846153848,1
17,0.9411764705882353,0.0,83.74867647058825,1
17,1.0,0.0,98.67808823529413,1
18,1.0,0.05555555555555555,70.80000000000003,1
10,1.0,0.0,57.940000000000026,1
17,1.0,0.0,88.72514705882354,1
14,1.0,0.0,90.95857142857145,1
12,0.9166666666666666,0.08333333333333333,80.89500000000001,1
16,1.0,0.0625,103.54,1
13,0.9230769230769231,0.07692307692307693,72.2828205128205,1
14,1.0,0.0,90.95857142857145,1
14,0.9285714285714286,0.0,90.95857142857145,1
16,1.0,0.0,77.1025,1
17,0.8235294117647058,0.0,93.70161764705884,1
19,0.8947368421052632,0.05263157894736842,90.32934210526317,1
16,1.0,0.0,77.68000000000004,1
19,0.9473684210526315,0.10526315789473684,108.13986842105264,1
16,1.0,0.0,77.1025,1
14,1.0,0.0,105.41261904761906,1
20,0.8,0.0,93.47500000000002,1
17,1.0,0.0,87.67750000000001,1
13,1.0,0.0,76.50153846153849,1
16,0.875,0.0,68.9825,1
19,1.0,0.05263157894736842,85.87671052631579,1
17,0.8823529411764706,0.0,103.65455882352943,1
17,1.0,0.0,88.72514705882354,1
19,0.8947368421052632,0.0,94.78197368421053,1
15,1.0,0.0,52.58250000000001,1
16,1.0,0.0,92.965,1
11,0.8181818181818182,0.0,103.37909090909093,1
16,1.0,0.0,75.14250000000001,1
17,0.9411764705882353,0.0,108.63102941176471,1
15,0.8666666666666667,0.06666666666666667,86.42250000000001,1
14,0.8571428571428571,0.0,53.639285714285734,1
17,1.0,0.058823529411764705,88.72514705882354,1
19,0.7368421052631579,0.05263157894736842,71.78157894736843,1
19,1.0,0.05263157894736842,90.32934210526317,1
18,1.0,0.0,84.90000000000003,1
18,0.8888888888888888,0.0,99.00000000000001,1
19,0.8947368421052632,0.0,99.00000000000001,1
16,0.9375,0.0,87.67750000000001,1
18,1.0,0.05555555555555555,113.10000000000002,1
16,1.0,0.0625,68.9825,1
10,1.0,0.0,78.24500000000002,0
10,1.0,0.0,103.625,0
10,1.0,0.0,95.165,0
10,1.0,0.0,86.70500000000001,0
10,1.0,0.0,103.625,0
10,1.0,0.0,98.8675,0
10,1.0,0.0,103.625,0
7,1.0,0.0,9.91107142857146,0
10,1.0,0.0,69.78500000000001,0
10,1.0,0.0,95.165,0
10,1.0,0.0,101.93166666666669,0
10,1.0,0.0,74.86000000000003,0
10,1.0,0.0,86.70500000000001,0
10,1.0,0.0,78.24500000000002,0
10,0.9,0.0,57.940000000000026,0
10,1.0,0.0,112.08500000000001,0
10,1.0,0.0,86.70500000000001,0
9,1.0,0.1111111111111111,98.8675,0
10,1.0,0.0,61.32500000000002,0
10,1.0,0.1,83.32000000000004,0
10,1.0,0.1,83.32000000000004,0
10,1.0,0.0,86.70500000000001,0
10,1.0,0.0,57.940000000000026,0
10,1.0,0.0,103.625,0
10,1.0,0.0,86.70500000000001,0
7,1.0,0.0,90.95857142857145,0
10,1.0,0.1,113.10000000000002,0
10,0.9,0.0,95.165,0
10,1.0,0.0,91.78000000000003,0
9,1.0,0.0,66.10000000000002,0
10,1.0,0.1,95.165,0
10,1.0,0.0,52.86500000000001,0
10,1.0,0.0,78.24500000000002,0
10,1.0,0.1,95.165,0
10,1.0,0.0,78.24500000000002,0
10,1.0,0.0,74.86000000000003,0
10,0.9,0.0,112.08500000000001,0
10,1.0,0.0,74.86000000000003,0
10,1.0,0.1,86.70500000000001,0
10,1.0,0.0,78.24500000000002,0
10,1.0,0.0,100.24000000000002,0
9,1.0,0.0,51.867500000000035,0
